# Constructed from biom file
#OTU ID	S2406	S2408	S2419	S2421
885cc67bf94934110c658a2ed7f74a33	434.0	975.0	2308.0	23.0
eb994716c8cf3cd84a3e58c8ea14bd29	485.0	645.0	620.0	375.0
0b119509867c51232b9b9bd27b3cbf7f	150.0	638.0	597.0	358.0
5d1fb36c556e393173a385ff2cc00ee8	274.0	213.0	208.0	263.0
59c4e45c0a287b3ceff9b88a6a455b6c	15.0	0.0	20.0	765.0
a1989679e207c0f3b365cee58b422c61	192.0	111.0	170.0	221.0
25bc81a4379724a5dcf203ee1cfdc25f	111.0	105.0	248.0	166.0
d64a8f6358ed26eceda217b5cc94c4b1	223.0	246.0	0.0	95.0
929a4fcddbd84eecda330ed3a206ef9f	151.0	132.0	107.0	126.0
f6dc41c27a3dfa310645457ad6693249	65.0	87.0	219.0	129.0
23af8900aef221ee8b287bbf028b0e3c	80.0	122.0	180.0	89.0
326cf70ef2f16c01d6724648de4d2438	87.0	88.0	91.0	192.0
d819c2b8f73ec89457de3c4e8e141094	42.0	179.0	59.0	105.0
499d1d4fef7815712578b7ef5c128aef	50.0	231.0	34.0	33.0
158ec98d7b85cd0e319655dcf1ecdf64	35.0	24.0	19.0	265.0
cfec80b9e9647c078e9059c58e4dc58f	147.0	67.0	55.0	71.0
aa44ed70c7280bd300136f6aab3b9fd7	55.0	72.0	154.0	54.0
0262b66cf0d92aeb599c96c0898c12ca	66.0	43.0	151.0	69.0
60e8bae6579f4fae6d0161d4124dae2a	66.0	88.0	99.0	75.0
267b7c38df95f616c1d0c34776a172db	89.0	77.0	72.0	77.0
cfb40d7f4a582693e421b930adf2a836	16.0	26.0	228.0	29.0
38a7f6bf94bd43dfa61610c95c4b1cb9	28.0	139.0	68.0	52.0
c5b1d223dcbfa7e8e67928a8550d2ae8	128.0	59.0	21.0	78.0
ed41e60bdf7863e6e87b30c7278f3c52	50.0	80.0	67.0	75.0
bc7796908c1aa2a6467f708a6455c964	68.0	93.0	37.0	64.0
12e29d32b786b56373ad8344fcdec905	94.0	45.0	38.0	80.0
9f62276dfd12c9cb32ba53907355615c	92.0	62.0	25.0	77.0
1f4064e5112f6c112d7bad0f89d07c45	79.0	88.0	69.0	0.0
3b4d975d9f51e69f73d052a3ea361519	47.0	72.0	78.0	35.0
f0247f159a6fdc17e412ba8352573c13	115.0	38.0	30.0	40.0
6be02a3558fc54ab0ea9bb1a31cf7f62	0.0	53.0	64.0	95.0
ca773786ca0079113cc82a0e091e93c1	114.0	46.0	16.0	33.0
d611177151f08df922661c40267b09cc	17.0	65.0	82.0	43.0
d7401fcca2f9e38e936e6a0fc56b0f0b	61.0	67.0	28.0	49.0
0c7a17aec7a45ade60ecb155a51e146a	31.0	76.0	48.0	47.0
76ad7f3d76f947e203a46f63a1bc2977	94.0	31.0	44.0	32.0
5f30735b78bb10c69e24aea6a7e161e3	66.0	32.0	45.0	58.0
2f5a7a72046f2f7d1bbc8dcbd1dea749	57.0	23.0	83.0	30.0
fa906e98b0664eb68d5efc763fc629ef	189.0	0.0	0.0	0.0
d8b2c63364c3db501192e2cb93140d39	78.0	39.0	37.0	29.0
780c1ea30daeee0899563384b924cfd4	97.0	49.0	11.0	21.0
06eeb36c6e376bd32dc44a6a69169cce	64.0	61.0	0.0	45.0
7ff346973a282aa55de296afdb5d74af	35.0	46.0	40.0	49.0
17d0d3da0d2f0f312e6a8dd85aa64919	47.0	26.0	51.0	38.0
245511666bd10ac40ce8d875d10365cd	40.0	38.0	28.0	55.0
4bce94e6a8bec966689ad1c3a7002cd4	37.0	36.0	38.0	49.0
334b65ac7ccdcd0b8dab50433242314c	31.0	38.0	39.0	52.0
88d73d4201c2041d2bf80efe1250cda5	23.0	37.0	58.0	42.0
27771f9f5d4a9d17e89a2334771332dc	158.0	0.0	0.0	0.0
501ede943467ca99e9a73cfd6fc3d42b	37.0	28.0	22.0	68.0
c3ebcc156425992054715ff2858a6329	24.0	35.0	34.0	60.0
ed2f8dc14f6e1f328521391f464932b0	32.0	37.0	45.0	36.0
f0fec1740b4a5a2b61147ce33fd3040f	9.0	84.0	5.0	51.0
b0003e209204b76bbfcb7f7f82f3986a	55.0	27.0	52.0	14.0
16205944f57bcce6ad08ae9975002947	73.0	24.0	30.0	20.0
769469d3afeada5190f45352f848faf0	26.0	31.0	44.0	43.0
e49962cbc032c379d2eb3e911edb26ae	63.0	18.0	19.0	33.0
07f57ca473cfa117664c7095a6ed8cfc	0.0	132.0	0.0	0.0
c02e8c8626324653efee7d2ece1353bf	82.0	20.0	0.0	27.0
439e8e2064ad95440936fd5191dfbf2e	67.0	0.0	59.0	0.0
6a82ab292f9c57c95da8cf95518b0ea2	40.0	30.0	0.0	55.0
7ab5c4fea295ced0fa799ff2488686c7	0.0	0.0	124.0	0.0
3b303ed35fc9c6fd833e07a28caa3fa4	76.0	20.0	8.0	19.0
56f6b4cc398343543a022cde96c8fb11	57.0	37.0	0.0	27.0
75361e988b178564ca3e9c8e584585a9	6.0	84.0	6.0	25.0
10afad23636c281e8f7e70146f4904d8	89.0	0.0	0.0	31.0
78fd3461717ab3c046c1f183f255233f	56.0	18.0	24.0	21.0
e53ec2dea630efbe6e2b4d334f473f62	25.0	25.0	28.0	41.0
e30d04d4a31eb2f91ae265d216dd8d46	31.0	28.0	23.0	33.0
6e93a25b223a70a90d2c845baa9d0c6c	26.0	17.0	55.0	17.0
8511a8c01250ef24408a3f4031bb51f3	43.0	23.0	16.0	28.0
9da841d923ffe95348d987dbe5355685	35.0	24.0	24.0	26.0
0722a454a2994e703d9c3406f2a5653e	25.0	24.0	29.0	31.0
00bfc2b0c0f18f0738e4cf008d74b25d	58.0	0.0	18.0	32.0
9743325d888e96123b559b47da4541b4	18.0	26.0	13.0	51.0
b495879d94ef81c4bb155f028ac8c874	19.0	27.0	38.0	23.0
9a6d9799959c725d2c753fb7d9ef9be9	25.0	27.0	36.0	17.0
6c55dcf41b974ad1496476ac606c24a8	25.0	33.0	24.0	23.0
2058614caa3cf297e94610346beb9d20	39.0	0.0	33.0	32.0
28564769fe438b0246aa472e358cd5c3	34.0	20.0	18.0	32.0
9b89ae11d76a4cbad6048cd52c8795fd	65.0	0.0	0.0	38.0
e0f04429735c7cf92b869f2b614b44ac	20.0	26.0	23.0	34.0
9ba7cedaa2e210fee1c4c9bba7d1cf8a	43.0	20.0	15.0	24.0
4f8da485822bfe7fa8e0668df6cd5ffd	43.0	26.0	0.0	33.0
38eebee982f0c0e4f7d7c912a7625b3c	12.0	19.0	41.0	28.0
11d2b0e02495749bb5a7581b996f7eec	18.0	28.0	10.0	37.0
2a7d8280d787b9134370091b6ae16ff4	0.0	28.0	30.0	35.0
ef2190e640216b8488f5113428ab8000	0.0	48.0	0.0	44.0
4fcdea7e1630e2288c4e82c8c2906e59	64.0	0.0	0.0	27.0
ef012bcf341a315932ee623381b93d7e	22.0	27.0	19.0	23.0
10cd179b162bce97911373195a53c503	58.0	0.0	0.0	32.0
